slug	rank	date	genre	artist	album	spotify	year
James Blake - CMYK EP	8	May 31, 2010	Dubstep	James Blake	CMYK EP	77ouWfDXYOYnES19CFiPKS	2010
James Blake - The Bells Sketch EP	8	March 15, 2010	Dubstep	James Blake	The Bells Sketch EP		2010
Joanna Newsom - Have One on Me	7	February 23, 2010	Indie Folk	Joanna Newsom	Have One on Me		2010
Vampire Weekend - Contra	6	January 12, 2010	Indie Rock	Vampire Weekend	Contra	0zeAijecFGZOS4OaRdPVz5	2010
Beach House - Teen Dream	5	January 26, 2010	Dream Pop	Beach House	Teen Dream	72mGz9Dnt42euozq8yBULe	2010
Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	4	July 6, 2010	Hip Hop	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	0GZMsKdDsbNhxvM1VaxB0U	2010
Deerhunter - Halcyon Digest	3	September 28, 2010	Indie Rock	Deerhunter	Halcyon Digest	1HUMjB15ARg96KIypcGzYY	2010
LCD Soundsystem - This Is Happening	2	May 18, 2010	Dance Punk	LCD Soundsystem	This Is Happening	4hnqM0JK4CM1phwfq1Ldyz	2010
Kanye West - My Beautiful Dark Twisted Fantasy	1	November 22, 2010	Hip Hop	Kanye West	My Beautiful Dark Twisted Fantasy	6LBiuhK7PZKjVXyMfPxPoh	2010
Youth Lagoon - The Year of Hibernation	50	September 27, 2011	Dream Pop	Youth Lagoon	The Year of Hibernation	0mcvDycoex7ANLZOmVVRoD	2011
Wild Flag - Wild Flag	49	September 13, 2011	Indie Rock	Wild Flag	Wild Flag	2HcZpInX7XfjQ69EsGKrhS	2011
Toro y Moi - Underneath The Pine	48	February 22, 2011	Chillwave	Toro y Moi	Underneath The Pine	00wmVs9BwWaSjLXBAzwUPq	2011
Sepalcure - Sepalcure	47	November 21, 2011	Dubstep	Sepalcure	Sepalcure	4NAZkbgSggue9GbUVoA4rf	2011
Cults - Cults	46	June 7, 2011	Indie Pop	Cults	Cults	2jb0zRewft3L2AwCOMx3du	2011
Kendrick Lamar - Section.80	45	July 2, 2011	Hip Hop	Kendrick Lamar	Section.80	13WjgUEEAQp0d9JqojlWp1	2011
Colin Stetson - New History Warfare Vol. 2: Judges	44	February 22, 2011	Experimental	Colin Stetson	New History Warfare Vol. 2: Judges	2YxOKIEvWuLnBTWGJL77aI	2011
Lykke Li - Wounded Rhymes	43	March 1, 2011	Indie Pop	Lykke Li	Wounded Rhymes	43uf0nTu6b5ReBCoQkLtsF	2011
SBTRKT - SBTRKT	42	June 28, 2011	Dubstep	SBTRKT	SBTRKT	5fP2kgfePJZF4nB1XqC1i8	2011
Liturgy - Aesthethica	41	May 10, 2011	Black Metal	Liturgy	Aesthethica	1cpS5zdyOqr6hXLGiEr0Bj	2011
AraabMuzik - Electronic Dream	40	June 14, 2011	Hip Hop	AraabMuzik	Electronic Dream	4ahBcxn9LnYUtf2u0iXVve	2011
The War on Drugs - Slave Ambient	39	August 16, 2011	Indie Rock	The War on Drugs	Slave Ambient	4136oTfNt4X3nw0zP1w2NG	2011
Sandro Perri - Impossible Spaces	38	October 18, 2011	Experimental	Sandro Perri	Impossible Spaces	0wTaLOGGUfWxT5TKrRq0Px	2011
Iceage - New Brigade	37	January 7, 2011	Post-Punk	Iceage	New Brigade	6vlGKE1mG5wxiqNE6fYXOF	2011
Kate Bush - 50 Words for Snow	36	November 21, 2011	Art Pop	Kate Bush	50 Words for Snow	1VAB3Xn92dPKPWzocgQqkh	2011
Frank Ocean - Nostalgia, Ultra.	35	February 18, 2011	R&B	Frank Ocean	Nostalgia, Ultra.		2011
Katy B - On a Mission	34	April 5, 2011	Dance Pop	Katy B	On a Mission	6KV9kNSuC1mmzrXKx6p6vV	2011
Fucked Up - David Comes to Life	33	June 7, 2011	Hardcore Punk	Fucked Up	David Comes to Life	7exqkn1MEoUhfDRMjwCOgm	2011
Panda Bear - Tomboy	32	April 12, 2011	Psychedelic Pop	Panda Bear	Tomboy	3SH1o5bO60CTibwxdYOFyo	2011
Ty Segall - Goodbye Bread	31	June 21, 2011	Garage Rock	Ty Segall	Goodbye Bread	3fgoWUTlgdezy7dPA6lVaE	2011
Tim Hecker - Ravedeath, 1972	30	February 15, 2011	Drone	Tim Hecker	Ravedeath, 1972	6cbCvUzsawFcG0aZVCJyzt	2011
DJ Quik - Book of David	29	April 19, 2011	Hip Hop	DJ Quik	Book of David	1PlWZCEmezLce2Mlyd5DQm	2011
Cut Copy - Zonoscope	28	February 8, 2011	Synthpop	Cut Copy	Zonoscope	5SFPr07PUPCT4YSaZjYeRR	2011
Beyoncé - 4	27	June 28, 2011	Pop	Beyoncé	4	7cvVgT5RXbcUo9Qw4nq31D	2011
The Field - Looping State of Mind	26	October 11, 2011	Minimal Techno	The Field	Looping State of Mind	1GO1sxNMppSD67YqZe4sKq	2011
Gang Gang Dance - Eye Contact	25	May 10, 2011	Experimental Rock	Gang Gang Dance	Eye Contact	3FnTGwJUmashhPZm9T87k4	2011
Julianna Barwick - The Magic Place	24	February 22, 2011	Ambient Pop	Julianna Barwick	The Magic Place	3URSIUAf32gpsqPhp1ItuT	2011
Bill Callahan - Apocalypse	23	April 5, 2011	Singer-Songwriter	Bill Callahan	Apocalypse	4RBHgVw8kR6IpXVnZhZrh0	2011
The Caretaker - An Empty Bliss Beyond This World	22	June 21, 2011	Ambient	The Caretaker	An Empty Bliss Beyond This World		2011
Kanye West & Jay-Z - Watch the Throne	21	August 8, 2011	Hip Hop	Kanye West & Jay-Z	Watch the Throne	1YwzJz7CrV9fd9Qeb6oo1d	2011
Nicolas Jaar - Space Is Only Noise	20	January 31, 2011	Microhouse	Nicolas Jaar	Space Is Only Noise	0tUJcqDuXHNkaPKLN0lQhT	2011
Danny Brown - XXX	19	August 15, 2011	Hip Hop	Danny Brown	XXX	3j21GO4l4W0w7hdF8JVPmo	2011
Atlas Sound - Parallax	18	November 8, 2011	Experimental	Atlas Sound	Parallax	6tMrRLV4mPCKOGZxWXF71P	2011
Clams Casino - Instrumental	17	March 2, 2011	Electronic	Clams Casino	Instrumental		2011
Kurt Vile - Smoke Ring for My Halo	16	March 8, 2011	Folk Rock	Kurt Vile	Smoke Ring for My Halo	32a7BrNNTAu7BVb6DcsMLP	2011
Fleet Foxes - Helplessness Blues	15	May 3, 2011	Indie Folk	Fleet Foxes	Helplessness Blues	3l7iMXJ0jqFnIYZRyCUewC	2011
Shabazz Palaces - Black Up	14	June 28, 2011	Hip Hop	Shabazz Palaces	Black Up	6xmJwIZr8GXrSTiYa9UYXG	2011
EMA - Past Life Martyred Saints	13	May 10, 2011	Experimental	EMA	Past Life Martyred Saints	08OhqUM0MeAuHd9HdryHB4	2011
James Blake - James Blake	12	February 8, 2011	Art Pop	James Blake	James Blake	0qY6lBQSi8IMJjHYDPdAqX	2011
St. Vincent - Strange Mercy	11	September 13, 2011	Art Pop	St. Vincent	Strange Mercy	1Lci4bx7JIuCC8pnBNX7ds	2011
The Weeknd - House of Balloons	10	March 21, 2011	R&B	The Weeknd	House of Balloons		2011
Real Estate - Days	9	October 18, 2011	Indie Rock	Real Estate	Days	43uj7422MLR9MRBXSki0El	2011
Drake - Take Care	8	November 15, 2011	Hip Hop	Drake	Take Care	63WdJvk8G9hxJn8u5rswNh	2011
tUnE-yArDs - w h o k i l l	7	April 19, 2011	Art Pop	tUnE-yArDs	w h o k i l l	7rBLvpL7ZWi1YCSXSLUZKF	2011
Oneohtrix Point Never - Replica	6	November 8, 2011	Drone	Oneohtrix Point Never	Replica	6zUTN3bN8rsgdy1lsFXI7L	2011
Girls - Father, Son, Holy Ghost	5	September 13, 2011	Indie Pop	Girls	Father, Son, Holy Ghost	66wRO7SK0Wo1KS40en2tua	2011
PJ Harvey - Let England Shake	4	February 15, 2011	Alternative Rock	PJ Harvey	Let England Shake	7f1aXd7Gd5H9IqFu36zw6m	2011
M83 - Hurry Up, We're Dreaming	3	October 18, 2011	Dream Pop	M83	Hurry Up, We're Dreaming	6MBuQugGuX7VMBX0uiBnAQ	2011
Destroyer - Kaputt	2	January 25, 2011	Sophisti-Pop 	Destroyer	Kaputt	1clYDgHxfhzxWQJH0ieRpx	2011
Bon Iver - Bon Iver, Bon Iver	1	June 21, 2011	Indie Folk	Bon Iver	Bon Iver, Bon Iver	0ZMzEAuUIylHgetdWqzcHU	2011
Lambchop - Mr. M	50	February 21, 2012	Alt-Country	Lambchop	Mr. M	5jIMNS1NP5sFkagCXvFiak	2012
Crystal Castles - (III)	49	November 12, 2012	Electronic	Crystal Castles	(III)	1NIfkZIYVAO6vnfmFOilHc	2012
Peaking Lights - Lucifer	48	June 19, 2012	Electronic	Peaking Lights	Lucifer	6ABsJ2gXpRBMjFM7oZ5xsr	2012
Pallbearer - Sorrow and Extinction	47	February 21, 2012	Doom Metal	Pallbearer	Sorrow and Extinction	4vcqtRCeKGALWvOg910jJi	2012
Rustie - Essential Mix	46	April 7, 2012	Dubstep	Rustie	Essential Mix		2012
El-P - Cancer 4 Cure	45	May 22, 2012	Hip Hop	El-P	Cancer 4 Cure	5zCfx4NLmvjmI3mwYJgdlT	2012
METZ - METZ	44	October 9, 2012	Noise Rock	METZ	METZ	5D6PdcR7qTaH6iu6WZlTOP	2012
Mac DeMarco - 2	43	October 16, 2012	Singer-Songwriter	Mac DeMarco	2	7mQ1elwuFdy0LBjAxv4spP	2012
Rick Ross - Rich Forever	42	January 6, 2012	Hip Hop	Rick Ross	Rich Forever	2Yeiz6V1YuHFz7iiWCC0SE	2012
Dum Dum Girls - End of Daze	41	September 25, 2012	Lo-Fi	Dum Dum Girls	End of Daze	2dOaomLOpKSelI1csdix04	2012
DIIV - Oshin	40	June 26, 2012	Shoegaze	DIIV	Oshin	7C2mLHV7cgF2l0LLzOd2FT	2012
Hot Chip - In Our Heads	39	June 11, 2012	Synthpop	Hot Chip	In Our Heads	31UV1XHUWAUfKH8vQQ0DD0	2012
Lotus Plaza - Spooky Action at a Distance	38	April 2, 2012	Neo-Psychedelia	Lotus Plaza	Spooky Action at a Distance	0F6VxVTyRvVe00d2AjylBK	2012
Future - Pluto	37	April 17, 2012	Hip Hop	Future	Pluto	1yNIBzlvPVBALSPkUMq1ma	2012
Sharon Van Etten - Tramp	36	February 7, 2012	Singer-Songwriter	Sharon Van Etten	Tramp	6E5Krpxb51P5DGM9da5lbq	2012
TNGHT - TNGHT	35	July 24, 2012	Electronic	TNGHT	TNGHT	4e0s9NinQo02X4exDDmW65	2012
Chairlift - Something	34	January 24, 2012	Electropop	Chairlift	Something	4nYzn3xOXQsltWZ5AIQns7	2012
Actress - R.I.P.	33	April 24, 2012	Experimental	Actress	R.I.P.	1iw1gr9TPYhIwmgoLPcRRG	2012
Action Bronson / Party Supplies - Blue Chips	32	March 12, 2012	Hip Hop	Action Bronson / Party Supplies	Blue Chips		2012
Spiritualized - Sweet Heart Sweet Light	31	April 17, 2012	Space Rock	Spiritualized	Sweet Heart Sweet Light	4O1ojhBMVNXH8Q9z2x37rX	2012
The Men - Open Your Heart	30	March 6, 2012	Noise Rock	The Men	Open Your Heart	4jcPjj6FuTPOKcREt9KfOs	2012
Cat Power - Sun	29	September 4, 2012	Singer-Songwriter	Cat Power	Sun	2JQgZJD5VKJkBMHBCkGQO0	2012
How to Dress Well - Total Loss	28	September 18, 2012	Ambient Pop	How to Dress Well	Total Loss	4aRufU4tMSZQ1NdmMO660O	2012
John Talabot - ƒIN	27	February 14, 2012	Deep House	John Talabot	ƒIN	3m779E07PwAQ3841RKHolm	2012
Julia Holter - Ekstasis	26	March 6, 2012	Art Pop	Julia Holter	Ekstasis	5KcephG2lFEcBpU616rsOQ	2012
Schoolboy Q - Habits & Contradictions	25	January 14, 2012	Hip Hop	Schoolboy Q	Habits & Contradictions	2XA9ImMQL9h3nFUMkHLL38	2012
Purity Ring - Shrines	24	July 24, 2012	Synthpop	Purity Ring	Shrines	7ppypgQppMf3mkRbZxYIFM	2012
Miguel - Kaleidoscope Dream	23	October 2, 2012	R&B	Miguel	Kaleidoscope Dream	6vgPmXpCwKpPjV6fLynFtH	2012
Flying Lotus - Until the Quiet Comes	22	October 2, 2012	IDM	Flying Lotus	Until the Quiet Comes	40aG9ahuLnAv96yoFG75Uy	2012
Ariel Pink's Haunted Graffiti - Mature Themes	21	August 21, 2012	Psychedelic Pop	Ariel Pink's Haunted Graffiti	Mature Themes	2TIa83EYZBDWfmEj6VVoWu	2012
Jessie Ware - Devotion	20	August 20, 2012	Soul	Jessie Ware	Devotion	467ptCjichGtFduanf3jMX	2012
Cloud Nothings - Attack on Memory	19	January 24, 2012	Indie Rock	Cloud Nothings	Attack on Memory	1JgpvdsSfE94eZzYBk6ph9	2012
Ty Segall Band - Slaughterhouse	18	June 26, 2012	Garage Rock	Ty Segall Band	Slaughterhouse	6QhMtcOQO98vzhYdzfjRAs	2012
Ty Segall & White Fence - Hair	18	April 24, 2012	Garage Rock	Ty Segall & White Fence	Hair	1CbEjRtaPQ1EKjYUSxf73F	2012
Bat For Lashes - The Haunted Man	17	October 15, 2012	Art Pop	Bat For Lashes	The Haunted Man	6rg92rv1hTB5fDfm85cWgq	2012
Burial - Kindred	16	February 12, 2012	Dubstep	Burial	Kindred	5OroU79gvn4zLctbiLswdI	2012
Dirty Projectors - Swing Lo Magellan	15	July 10, 2012	Art Pop	Dirty Projectors	Swing Lo Magellan	1WhF5ZiI5V5laq2nGLoF99	2012
Andy Stott - Luxury Problems	14	October 29, 2012	Dub Techno	Andy Stott	Luxury Problems	6XpD4GhQq4olgxxgX6BXdv	2012
Killer Mike - R.A.P. Music	13	May 15, 2012	Hip Hop	Killer Mike	R.A.P. Music	5EAhUoAz1G3WTvIfGZvmrh	2012
Godspeed You! Black Emperor - 'Allelujah! Don't Bend! Ascend!	12	October 16, 2012	Post-Rock	Godspeed You! Black Emperor	'Allelujah! Don't Bend! Ascend!	30bTXMxsMsYn7QbwmDW3rj	2012
Japandroids - Celebration Rock	11	June 5, 2012	Garage Rock	Japandroids	Celebration Rock	2sY9WYVH022ulyAYaqvXLW	2012
Grizzly Bear - Shields	10	September 18, 2012	Indie Folk	Grizzly Bear	Shields	57LAEzKL94ZHwbIkUWYCDY	2012
Death Grips - The Money Store	9	April 21, 2012	Hip Hop	Death Grips	The Money Store	1PQDjdBpHPikAodJqjzm6a	2012
Chromatics - Kill for Love	8	March 26, 2012	Synthpop	Chromatics	Kill for Love	5Rz4NIqwoYGDbIh40UTylV	2012
Beach House - Bloom	7	May 15, 2012	Dream Pop	Beach House	Bloom	68pikiNcGlWj3XFirs5O2R	2012
Grimes - Visions	6	February 21, 2012	Synthpop	Grimes	Visions	48a7rOjTzpD1zzJAteeveE	2012
Swans - The Seer	5	August 28, 2012	Post-Rock	Swans	The Seer	1ijaW4mgV7Xz7DK5cXyjoo	2012
Tame Impala - Lonerism	4	October 9, 2012	Psychedelic Rock	Tame Impala	Lonerism	76vY9yohh4kVwSKkyKbyEQ	2012
Fiona Apple - The Idler Wheel	3	June 19, 2012	Singer-Songwriter	Fiona Apple	The Idler Wheel	7uccppFArLf9dNOwDftOZa	2012
Frank Ocean - Channel Orange	2	July 17, 2012	Alternative R&B	Frank Ocean	Channel Orange	623Ef2ZEB3Njklix4PC0Rs	2012
Kendrick Lamar - good kid, m.A.A.d. city	1	October 22, 2012	Hip Hop	Kendrick Lamar	good kid, m.A.A.d. city	1DqhWr73Fh5yoNzKLas0G3	2012
Pusha T - My Name Is My Name	50	October 8, 2013	Hip Hop	Pusha T	My Name Is My Name	4f0X8H8GetFqQ3SwMFpXmH	2013
Julia Holter - Loud City Song	49	August 19, 2013	Art Pop	Julia Holter	Loud City Song	2rbppUb6T63d41sk7dQDfL	2013
Speedy Ortiz - Major Arcana	48	July 9, 2013	Grunge	Speedy Ortiz	Major Arcana	5SEhuymkFPl8ZA44dMQRrN	2013
The Range - Nonfiction	47	October 14, 2013	IDM	The Range	Nonfiction	1fbBkO7KFv8GcO4Y0l30QI	2013
M.I.A. - Matangi	46	November 5, 2013	Electropop	M.I.A.	Matangi	3dAxXNscIj0p53lBMEziYR	2013
Fuck Buttons - Slow Focus	45	July 23, 2013	Electronic	Fuck Buttons	Slow Focus	2I1PxMR8wj1Y6k88bselsq	2013
Justin Timberlake - The 20/20 Experience	44	March 19, 2013	Pop	Justin Timberlake	The 20/20 Experience	41br7lBSZOr9RjJAjk0om6	2013
The National - Trouble Will Find Me	43	May 21, 2013	Indie Rock	The National	Trouble Will Find Me	2JhR4tjuc3MIKa8v2JaKze	2013
Rhye - Woman	42	March 5, 2013	Soul	Rhye	Woman	6b1HPtDuYioXwmw5xLLFQ9	2013
Mutual Benefit - Love's Crushing Diamond	41	October 25, 2013	Indie Folk	Mutual Benefit	Love's Crushing Diamond	7bdiB9i8o2je2kaPylQ3IF	2013
Parquet Courts - Light Up Gold	40	August 18, 2012	Garage Rock	Parquet Courts	Light Up Gold	2txqIXQU0GCnzg8mTxw1lY	2013
A$AP Rocky - Long.Live.A$AP	39	January 15, 2013	Hip Hop	A$AP Rocky	Long.Live.A$AP	5WHY4T7LcWAJPb1ddChotC	2013
Boards of Canada - Tomorrow's Harvest	38	June 11, 2013	Electronic	Boards of Canada	Tomorrow's Harvest	159ORixBSSemxiualv1Woj	2013
Jon Hopkins - Immunity	37	June 3, 2013	Microhouse	Jon Hopkins	Immunity	3T0f43xzDQQKvQgFTKjPqq	2013
CHVRCHES - The Bones of What You Believe	36	September 24, 2013	Synthpop	CHVRCHES	The Bones of What You Believe	1l9bp6Fz4xkN673dWN5cpy	2013
Phosphorescent - Muchacho	35	March 19, 2013	Americana	Phosphorescent	Muchacho	2he3CA9Gg1XLCsBiMAaXiz	2013
Forest Swords - Engravings	34	August 26, 2013	Experimental	Forest Swords	Engravings	74UnLsuHAp1505hHzwcjPR	2013
Burial - Truant / Rough Sleeper	33	December 17, 2012	Dubstep	Burial	Truant / Rough Sleeper	6kboqwpIVOGW2p5CF3LDE9	2013
DJ Koze - Amygdala	32	March 25, 2013	Deep House	DJ Koze	Amygdala	7vv9qusEblI1f1LcIdYgEc	2013
Autre Ne Veut - Anxiety	31	February 26, 2013	R&B	Autre Ne Veut	Anxiety	6b9Uh2Pp3nc3EJw9pvfsSt	2013
Deerhunter - Monomania	30	May 3, 2013	Indie Rock	Deerhunter	Monomania	68gYjtaIWlvCscoxuCqAiZ	2013
The Haxan Cloak - Excavation	29	April 15, 2013	Drone	The Haxan Cloak	Excavation	16DAUZi7MAWliYIiJvaQyk	2013
Run the Jewels - Run the Jewels	28	June 26, 2013	Hip Hop	Run the Jewels	Run the Jewels	5okrDWqn2b0dX1VBpaZRxQ	2013
Neko Case - The Worse Things Get ...	27	September 3, 2013	Singer-Songwriter	Neko Case	The Worse Things Get ...	3V7aa2rOEqNczucNlTH32c	2013
James Blake - Overgrown	26	April 8, 2013	Art Pop	James Blake	Overgrown	12ExNn0hx85F8UNzoKCyCD	2013
Drake - Nothing Was the Same	25	September 24, 2013	Hip Hop	Drake	Nothing Was the Same	2ZUFSbIkmFkGag000RWOpA	2013
Oneohtrix Point Never - R Plus Seven	24	October 1, 2013	Electronic	Oneohtrix Point Never	R Plus Seven	68PRq4zj7YXMwiUq6FNGvR	2013
DJ Rashad - Double Cup	23	October 22, 2013	Footwork	DJ Rashad	Double Cup	4J7qkorMbPmJQy79SntDA8	2013
Waxahatchee - Cerulean Salt	22	March 5, 2013	Singer-Songwriter	Waxahatchee	Cerulean Salt	4OfohS2lFQOeCXsrNcdh5s	2013
Blood Orange - Cupid Deluxe	21	November 18, 2013	R&B	Blood Orange	Cupid Deluxe	5Pn6Nexd7zbCMkdVGeml0m	2013
Jai Paul - Jai Paul	20	April 1, 2013	Alternative R&B	Jai Paul	Jai Paul		2013
Earl Sweatshirt - Doris	19	August 20, 2013	Hip Hop	Earl Sweatshirt	Doris	5vRfIDOPJHy3W2wHWbzLlE	2013
Janelle Monáe - The Electric Lady	18	September 10, 2013	R&B	Janelle Monáe	The Electric Lady	3bnHtSmmsgJiG82hGCmsq9	2013
HAIM - Days Are Gone	17	September 30, 2013	Indie Rock	HAIM	Days Are Gone	0eXAgjcMHbFt3fS0XXp8Kw	2013
Bill Callahan - Dream River	16	September 17, 2013	Singer-Songwriter	Bill Callahan	Dream River	09o1j1zgl0n8H6EJZXIvRi	2013
Sky Ferreira - Night Time, My Time	15	October 29, 2013	Synthpop	Sky Ferreira	Night Time, My Time	1bvCVYPVl445mO690M2dOr	2013
The Knife - Shaking the Habitual	14	April 8, 2013	Electronic	The Knife	Shaking the Habitual	7eDaaP6J8Q3cYVTGRmARwx	2013
Kurt Vile - Wakin on a Pretty Daze	13	April 9, 2013	Folk Rock	Kurt Vile	Wakin on a Pretty Daze	2imxOfDIDk2voAYCZP88u2	2013
Chance The Rapper - Acid Rap	12	April 30, 2013	Hip Hop	Chance The Rapper	Acid Rap	2VBcztE58pBKjIDS5oEgFh	2013
Darkside - Psychic	11	October 8, 2013	Art Pop	Darkside	Psychic	7jqNrm1l4wSxNYSjgK7tmF	2013
Arcade Fire - Reflektor	10	October 29, 2013	Indie Rock	Arcade Fire	Reflektor	4E0m7AIVc2d2QZMrMNXdMZ	2013
Savages - Silence Yourself	9	May 6, 2013	Post-Punk	Savages	Silence Yourself	0aMC5DDAF86GvYNPaivEKd	2013
Majical Cloudz - Impersonator	8	May 21, 2013	Ambient Pop	Majical Cloudz	Impersonator	70EudAo73w9QvcF2u5K18E	2013
Daft Punk - Random Access Memories	7	May 21, 2013	Nu-Disco	Daft Punk	Random Access Memories	4m2880jivSbbyEGAKfITCa	2013
Deafheaven - Sunbather	6	June 11, 2013	Blackgaze	Deafheaven	Sunbather	2kKXGWaCEl06EKZ4DxBJIT	2013
Danny Brown - OLD	5	October 8, 2013	Hip Hop	Danny Brown	OLD	5SC0415RIGVX9ZfL0tfbAl	2013
My Bloody Valentine - m b v	4	February 3, 2013	Shoegaze	My Bloody Valentine	m b v		2013
Disclosure - Settle	3	June 3, 2013	Electronic	Disclosure	Settle	1bEnTsCvG4FPW7NpIEC5Zc	2013
Kanye West - Yeezus	2	June 18, 2013	Hip Hop	Kanye West	Yeezus	0XTAmejG8F97wF5MWoVbaY	2013
Vampire Weekend - Modern Vampires of the City	1	May 14, 2013	Indie Rock	Vampire Weekend	Modern Vampires of the City	2Qi2SySN2ePZwMLDSv9Krn	2013
Ben Frost - A U R O R A	50	May 26, 2014	Dark Ambient	Ben Frost	A U R O R A	2hVGkLbETH03giJCwRfjaN	2014
Mr Twin Sister - Mr Twin Sister	49	September 23, 2014	Dream Pop	Mr Twin Sister	Mr Twin Sister	6r34aMIPIjbKLtWcbdyseT	2014
Clark - Clark	48	November 3, 2014	IDM	Clark	Clark	13944rqffz0QLBUe04vY0r	2014
Shellac - Dude Incredible	47	September 16, 2014	Noise Rock	Shellac	Dude Incredible	2ESIcPobinuSSEwX8kzhY0	2014
Ariana Grande - My Everything	46	August 25, 2014	R&B	Ariana Grande	My Everything	41zTgMSJC9mF6NyBkXXxZr	2014
Andy Stott - Faith in Strangers	45	November 18, 2014	Electronic	Andy Stott	Faith in Strangers	1BzMONuUlgUnqOrg2aQeAY	2014
A Sunny Day in Glasgow - Sea When Absent	44	June 24, 2014	Shoegaze	A Sunny Day in Glasgow	Sea When Absent	4rkH6ty2BmobpmERezgUBF	2014
Freddie Gibbs & Madlib - Piñata	43	March 18, 2014	Hip Hop	Freddie Gibbs & Madlib	Piñata	43uErencdmuTRFZPG3zXL1	2014
Owen Pallett - In Conflict	42	May 27, 2014	Chamber Pop	Owen Pallett	In Conflict	6qkTG87rvoVj6RqzHHymbi	2014
Leon Vynehall - Music for the Uninvited	41	March 17, 2014	Deep House	Leon Vynehall	Music for the Uninvited	3Eq4qTWygAzH186V3q5D8z	2014
Ty Segall - Manipulator	40	August 26, 2014	Garage Rock	Ty Segall	Manipulator	0aXcmVjzU9v63FhFcjgLxp	2014
Ought - More Than Any Other Day	39	April 29, 2014	Post-Punk	Ought	More Than Any Other Day	6Y1StvNpDomvTkBgtgHIlU	2014
Hundred Waters - The Moon Rang Like A Bell	38	May 27, 2014	Art Pop	Hundred Waters	The Moon Rang Like A Bell	051I8OUCXMiEnua64QQKy3	2014
Perfect Pussy - Say Yes to Love	37	March 18, 2014	Noise Rock	Perfect Pussy	Say Yes to Love	0vAWlFqwQXVhsW7SR3rXv1	2014
Tinashe - Aquarius	36	October 7, 2014	Alternative R&B	Tinashe	Aquarius	6zXUDBGLbrB9Kgkw2Y3F7L	2014
Shabazz Palaces - Lese Majesty	35	July 29, 2014	Hip Hop	Shabazz Palaces	Lese Majesty	76w2I0nUWKdsDe9gubdpW5	2014
Cloud Nothings - Here and Nowhere Else	34	April 1, 2014	Indie Rock	Cloud Nothings	Here and Nowhere Else	0hLNDK6qqmScdwxU7kvnXn	2014
Rich Gang - Tha Tour Part 1	33	September 29, 2014	Hip Hop	Rich Gang	Tha Tour Part 1		2014
White Lung - Deep Fantasy	32	June 17, 2014	Noise Rock	White Lung	Deep Fantasy	7lsoGmTZp7mUBoAALe611f	2014
Taylor Swift - 1989	31	October 27, 2014	Pop	Taylor Swift	1989	2QJmrSgbdM35R67eoGQo4j	2014
Iceage - Plowing Into the Field of Love	30	October 7, 2014	Post-Punk	Iceage	Plowing Into the Field of Love	2zFpmXJsyl4HnMY1hZcfIe	2014
How to Dress Well - What Is This Heart?	29	June 24, 2014	Alternative R&B	How to Dress Well	What Is This Heart?	70o7vRADMOz75vzHBla3Z0	2014
Pharmakon - Bestial Burden	28	October 14, 2014	Death Industrial	Pharmakon	Bestial Burden	3HOtmw25fWCfpvAlxl9H8p	2014
YG - My Krazy Life	27	March 18, 2014	Hip Hop	YG	My Krazy Life	6cW84YyjHToN3qqBwKDKQX	2014
Ex Hex - Rips	26	October 7, 2014	Indie Rock	Ex Hex	Rips	6AiSmBuuVUi2xCIVJsXcQb	2014
Azealia Banks - Broke With Expensive Taste	25	November 6, 2014	Hip Hop	Azealia Banks	Broke With Expensive Taste	399M7b1n6aSepgtWTRi3za	2014
Parquet Courts - Sunbathing Animal	24	June 3, 2014	Garage Rock	Parquet Courts	Sunbathing Animal	3ngz9FbWGxHscqvwoGOL0u	2014
Lykke Li - I Never Learn	23	May 5, 2014	Indie Pop	Lykke Li	I Never Learn	4fGqfyineAZmulNxgitERh	2014
Future Islands - Singles	22	March 25, 2014	Synthpop	Future Islands	Singles	1dKh4z5Aayt8FFDWjO5FDh	2014
Eno • Hyde - High Life	21	June 30, 2014	Art Rock	Eno • Hyde	High Life		2014
Vince Staples - Hell Can Wait	20	October 7, 2014	Hip Hop	Vince Staples	Hell Can Wait	7mxpMxmMM8RN39YRlo08v7	2014
Sharon Van Etten - Are We There	19	May 27, 2014	Singer-Songwriter	Sharon Van Etten	Are We There	69EhwEgjEWQ8GqH7wqEndn	2014
Arca - Xen	18	November 4, 2014	Electronic	Arca	Xen	5FLsmazQWaDK9JGqdzHlN4	2014
Flying Lotus - You're Dead!	17	October 7, 2014	Electronic	Flying Lotus	You're Dead!	29luvT98TnqHjVDYSRbbrj	2014
St. Vincent - St. Vincent	16	February 25, 2014	Art Pop	St. Vincent	St. Vincent	2CJnMhwEEkS8R1ctgt5llf	2014
Angel Olsen - Burn Your Fire for No Witness	15	February 18, 2014	Singer-Songwriter	Angel Olsen	Burn Your Fire for No Witness	0xvDtkNKJiLclVbjLvovFU	2014
Real Estate - Atlas	14	March 4, 2014	Indie Rock	Real Estate	Atlas	50idJkY6FhqUesGnGHn7wB	2014
Spoon - They Want My Soul	13	August 5, 2014	Indie Rock	Spoon	They Want My Soul	5LOVEXnGFLMChzdUNRWRpB	2014
